PID/THRD         RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
files were found:
/Users/sergeyantonov/Desktop/Epam/EpamPython2019/11-programming-and-debugging/hw/hw2/file1.txt

20699/0xb016c:     10842       8      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10849       7      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/lib/python3.7/os.pyc\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10856       7      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10863       8      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/lib/python3.7/os.pyc\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10871       8      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10878       7      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/lib/python3.7/os.pyc\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10885       8      6 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10892       7      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../lib/python3.7/os.pyc\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10903      12      9 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = 0 0
20699/0xb016c:     10913       8      6 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/bin/pybuilddir.txt\0", 0x7FFEE822BFE0, 0x0)		 = -1 2
